k,window_size,accuracy,precision,recall,f1,total_test_flows,attack_flows,benign_flows,true_positives,false_positives,processing_time
2,70,0.9964683778553165,0.996683297426012,0.9997725140046065,0.9982255156651477,70789,70334,455,70318,234,113.82933115959167
2,80,0.9962983370773817,0.9965278761939854,0.9997582961298945,0.9981404724051783,70779,70334,445,70317,245,115.41125750541687
2,60,0.9972174748230908,0.9972492024104928,0.9999573463758638,0.9986014383177504,70799,70334,465,70331,194,115.62521052360535
2,90,0.9967782503638599,0.9968251268531905,0.9999431285011516,0.9983816932598943,70769,70334,435,70330,224,115.79354238510132
2,100,0.9970604446077531,0.9971077778092835,0.9999431285011516,0.9985234403839055,70759,70334,425,70330,204,113.92648839950562
2,110,0.9970600291170193,0.9971077778092835,0.9999431285011516,0.9985234403839055,70749,70334,415,70330,204,112.5565128326416
2,120,0.9971585688234214,0.9972208436724566,0.9999289106264395,0.9985730411262326,70739,70334,405,70329,196,113.39358639717102
2,130,0.997780259865119,0.9978433904172755,0.9999289106264395,0.9988850619607286,70729,70334,395,70329,152,113.47994542121887
2,140,0.997864788812059,0.9979283433841788,0.9999289106264395,0.9989276253648559,70719,70334,385,70329,146,114.12459754943848
2,150,0.9979634841392185,0.9980274734631323,0.9999289106264395,0.9989772872544425,70709,70334,375,70329,139,114.0727391242981
4,60,0.9973869687424963,0.9978142696964106,0.9995592458839253,0.9986859955536931,70799,70334,465,70303,154,114.4972734451294
4,70,0.9973159671700406,0.9974046234576656,0.9999004748770154,0.9986509897475221,70789,70334,455,70327,183,116.8409514427185
4,90,0.9971456428662268,0.9974324055948024,0.9997014246310462,0.9985656261538899,70769,70334,435,70313,181,110.47623348236084
4,100,0.9972582992976159,0.9975456118945606,0.9997014246310462,0.9986223547791507,70759,70334,425,70313,173,114.02909183502197
4,80,0.9967221916105059,0.9972901651438625,0.9994170671368043,0.9983524833472993,70779,70334,445,70293,191,115.99544477462769
4,110,0.9978232907885624,0.9981120290719132,0.9997014246310462,0.9989060946157124,70749,70334,415,70313,133,116.42196822166443
4,120,0.9975543900818502,0.9978429007308592,0.9997014246310462,0.9987712980916058,70739,70334,405,70313,152,111.61504554748535
4,130,0.9977661213929223,0.99805535841022,0.9997014246310462,0.9988777133765201,70729,70334,395,70313,137,113.72580480575562
4,140,0.9978789292835023,0.9981545624893532,0.9997156425057583,0.9989344926053787,70719,70334,385,70314,130,116.20139503479004
4,150,0.9976664922428545,0.9979420655984331,0.9997156425057583,0.9988280667362724,70709,70334,375,70314,145,113.04398083686829
6,60,0.9968078645178604,0.9974597678312945,0.9993317598885318,0.9983948863636364,70799,70334,465,70287,179,116.70638608932495
6,70,0.9977538883159813,0.9980977527930384,0.9996445531321978,0.9988705541388153,70789,70334,455,70309,134,114.5517213344574
6,90,0.9968630332490215,0.9977141721327768,0.9991327096425626,0.9984229370311435,70769,70334,435,70273,161,113.22028756141663
6,80,0.9972308170502551,0.9973761842627787,0.999843603378167,0.9986083696624587,70779,70334,445,70323,185,114.88184118270874
6,100,0.9969615172628217,0.9975025187665848,0.9994455028862286,0.9984730655871595,70759,70334,425,70295,176,112.37949180603027
6,110,0.9974275254773919,0.9975883788231289,0.9998293855034549,0.9987076250124267,70749,70334,415,70322,170,114.43528890609741
6,130,0.9980347523646594,0.998154850613867,0.9998720391275913,0.9990127069586402,70729,70334,395,70325,130,113.6746072769165
6,120,0.9975543900818502,0.997715761247393,0.9998293855034549,0.9987714551510116,70739,70334,405,70322,161,115.51589322090149
6,140,0.9981617387123687,0.9982823723135451,0.9998720391275913,0.9990765733769001,70719,70334,385,70325,121,114.65997815132141
6,150,0.9980907663805173,0.9982115229024429,0.9998720391275913,0.9990410910253223,70709,70334,375,70325,126,112.98391723632812
8,60,0.9979236994872809,0.9980697994578407,0.999843603378167,0.9989559140014064,70799,70334,465,70323,136,114.07073283195496
8,70,0.9977962677817175,0.9979847293576679,0.9998009497540308,0.9988920139776698,70789,70334,455,70320,142,114.35516500473022
8,80,0.9977111855211291,0.9978997559175796,0.9998009497540308,0.9988494481612477,70779,70334,445,70320,148,114.12088751792908
8,90,0.9978804278709604,0.9981121362668559,0.9997582961298945,0.9989345380156835,70769,70334,435,70317,133,112.83758330345154
8,100,0.9975268163767154,0.9979135026187671,0.9996018995080616,0.9987569875059487,70759,70334,425,70306,147,113.53886270523071
8,110,0.9969893567400246,0.9979548069138888,0.9990189666448659,0.9984866032413691,70749,70334,415,70265,144,114.48215365409851
8,120,0.9977381642375494,0.9979139467559743,0.9998151676287429,0.998863652504936,70739,70334,405,70321,147,115.06848573684692
8,130,0.997780259865119,0.9979564322713403,0.9998151676287429,0.9988849352623244,70729,70334,395,70321,144,115.15652704238892
8,140,0.9974405746687595,0.9980264372222459,0.9994028492620923,0.9987141690050794,70719,70334,385,70292,139,115.9890809059143
8,150,0.9979634841392185,0.9981122970364483,0.999843603378167,0.9989772000852333,70709,70334,375,70323,133,116.34621906280518
10,60,0.9976977075947401,0.9980269414753935,0.9996587710069099,0.9988421897530242,70799,70334,465,70310,139,115.68792533874512
10,70,0.9977821412931388,0.9979422992322647,0.9998293855034549,0.9988849511011996,70789,70334,455,70322,145,113.99744129180908
10,80,0.9977253140055666,0.9979421824219803,0.9997725140046065,0.9988565097267698,70779,70334,445,70318,145,115.21090531349182
10,90,0.9977532535432181,0.997956374267346,0.9997867318793187,0.9988707145748844,70769,70334,435,70319,144,113.6600661277771
10,110,0.9979646355425519,0.9982254400908575,0.9997298603804703,0.9989770838365039,70749,70334,415,70315,125,112.41893148422241
10,100,0.9979366582342882,0.9981405251951739,0.9997867318793187,0.9989629503352654,70759,70334,425,70319,131,117.16553211212158
10,120,0.9978229830786413,0.998041330759623,0.9997725140046065,0.9989061723133745,70739,70334,405,70318,138,113.4342052936554
10,130,0.9978085368095123,0.9980413029593358,0.9997582961298945,0.9988990617164694,70729,70334,395,70317,138,113.8792462348938
10,140,0.9976951031547392,0.9978855950843634,0.9998009497540308,0.9988423542112029,70719,70334,385,70320,149,112.77277064323425
10,150,0.9978079169554088,0.9980130288536596,0.9997867318793187,0.9988990929946802,70709,70334,375,70319,140,116.66868662834167
12,60,0.005240187008291077,0.1987179487179487,0.00044075411607472916,0.000879557384026103,70799,70334,465,31,125,112.89747452735901
12,70,0.005043156422608032,0.24210526315789474,0.0006540222367560497,0.0013045204469400488,70789,70334,455,46,144,114.61176443099976
12,80,0.9977253140055666,0.9979421824219803,0.9997725140046065,0.9988565097267698,70779,70334,445,70318,145,113.90886211395264
12,100,0.9977105385887307,0.9978997559175796,0.9998009497540308,0.9988494481612477,70759,70334,425,70320,148,112.99359440803528
12,90,0.99785216690924,0.9980272495032643,0.9998151676287429,0.9989204085401366,70769,70334,435,70321,139,115.54422497749329
12,110,0.9981059802965413,0.9982539817732732,0.999843603378167,0.9990481602500355,70749,70334,415,70323,123,114.89973020553589
12,120,0.9981057125489475,0.9982681278746238,0.9998293855034549,0.9990481467274717,70739,70334,405,70322,122,113.14898610115051
12,130,0.9981337216700363,0.9983247678809734,0.9998009497540308,0.9990623135282585,70729,70334,395,70320,118,113.35816788673401
12,140,0.9980344744693788,0.9982538578384748,0.9997725140046065,0.9990126087728645,70719,70334,385,70318,123,115.43516039848328
12,150,0.9980766239092619,0.99828222600795,0.9997867318793187,0.9990339125122537,70709,70334,375,70319,121,114.61133599281311
14,60,0.005197813528439667,0.19875776397515527,0.0004549719907868172,0.0009078658060855379,70799,70334,465,32,129,113.52852582931519
14,70,0.0052126742855528405,0.22077922077922077,0.00048340774021099324,0.0009647032118942231,70789,70334,455,34,120,113.65725779533386
14,80,0.8654120572486189,0.9976919299394337,0.8665652458270537,0.9275170440710981,70779,70334,445,60949,141,113.52630949020386
14,90,0.9959728129548249,0.9979102398248582,0.9980379332897319,0.9979740824726145,70769,70334,435,70196,147,113.1766459941864
14,100,0.9977670685001201,0.997970537310891,0.9997867318793187,0.9988778090286656,70759,70334,425,70319,143,113.61798048019409
14,110,0.997922232116355,0.9980839377208794,0.9998293855034549,0.9989558991696913,70749,70334,415,70322,135,112.83997654914856
14,120,0.9979643478137944,0.9981122970364483,0.999843603378167,0.9989772000852333,70739,70334,405,70323,133,110.67370867729187
14,130,0.9980206138924628,0.9982396865506374,0.9997725140046065,0.9990055123032335,70729,70334,395,70318,124,113.02635455131531
14,140,0.9980910363551521,0.998296398302077,0.9997867318793187,0.9990410092844508,70719,70334,385,70319,120,111.4681453704834
14,150,0.9981756212080499,0.9983955928497394,0.9997725140046065,0.9990835790146698,70709,70334,375,70318,113,111.72958374023438
16,60,0.005282560488142488,0.22424242424242424,0.0005260613643472574,0.0010496602788692038,70799,70334,465,37,128,112.40041422843933
16,70,0.005198547796974106,0.21935483870967742,0.00048340774021099324,0.0009646895260253372,70789,70334,455,34,121,112.92230010032654
16,80,0.00511451136636573,0.21379310344827587,0.00044075411607472916,0.0008796946608209537,70779,70334,445,31,114,112.40731716156006
16,90,0.004973929262812813,0.2893401015228426,0.0008104188585890182,0.0016163105584778325,70769,70334,435,57,140,112.45804595947266
16,100,0.9854718127729335,0.9979451661110472,0.9874171808798021,0.9926532595800638,70759,70334,425,69449,143,111.2378294467926
16,110,0.997922232116355,0.9980697994578407,0.999843603378167,0.9989559140014064,70749,70334,415,70323,136,111.08699631690979
16,120,0.997907801919733,0.9980980497913532,0.9998009497540308,0.9989487740432423,70739,70334,405,70320,134,113.03333592414856
16,140,0.998218300598142,0.9984239670594917,0.9997867318793187,0.9991048847716746,70719,70334,385,70319,111,112.89279246330261
16,130,0.9981619986144298,0.9983672658091263,0.9997867318793187,0.9990764946578767,70729,70334,395,70319,115,114.56965065002441
16,150,0.9982746185068379,0.9984948313075088,0.9997725140046065,0.9991332641839185,70709,70334,375,70318,106,114.27373671531677
